canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,target_name
CC(C)c1cc(NC2=NC[C@@]3(CN4CCC3CC4)O2)ncn1,CHEMBL4066807,EC50,nM,100000.0,EC50,uM,100.0,CHRNA1
Clc1cc(NC2=NC[C@@]3(CN4CCC3CC4)O2)ncn1,CHEMBL4097654,EC50,nM,100000.0,EC50,uM,100.0,CHRNA1
COc1cc(NC2=NC[C@@]3(CN4CCC3CC4)O2)ncn1,CHEMBL4079623,EC50,nM,100000.0,EC50,uM,100.0,CHRNA1
c1ccc(-c2cc(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncn2)cc1,CHEMBL4102566,EC50,nM,100000.0,EC50,uM,100.0,CHRNA1
c1cnc(NC2=NCC3(CN4CCC3CC4)O2)cn1,CHEMBL4087500,EC50,nM,100000.0,EC50,uM,100.0,CHRNA1
Cn1cnc(C(=O)N2CCN(C(=O)c3ccc(Nc4nc5ccccc5n5nnnc45)cc3)CC2)c1,CHEMBL4060134,EC50,nM,19952.62,pEC50,,4.7,CHRNA1
NCCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,CHEMBL3091687,IC50,nM,30000.0,IC50,uM,30.0,CHRNA1
c1ccc2c(c1)CN[C@@H](CN(CCCN1CCNCC1)[C@H]1CCCc3cccnc31)C2,CHEMBL4167058,IC50,nM,30000.0,IC50,uM,30.0,CHRNA1
c1ccc2c(c1)CN[C@@H](CN(CC[C@H]1CCCNC1)[C@H]1CCCc3cccnc31)C2,CHEMBL4174290,IC50,nM,11300.0,IC50,uM,11.3,CHRNA1
O=C(N[C@@H]1CCCNC1)c1cc2cccc(Br)c2s1,CHEMBL4228846,EC50,nM,286.0,EC50,uM,0.286,CHRNA1
O=C(N[C@@H]1CCCNC1)c1cc2cccc(Br)c2s1,CHEMBL4228846,EC50,nM,660.0,EC50,uM,0.66,CHRNA1
C[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,CHEMBL4786690,IC50,nM,12300.0,IC50,uM,12.3,CHRNA1
CC[C@H](C)[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]2CSSC[C@H](NC(=O)CN)C(=O)N[C@@H](CSSC[C@@H](C(N)=O)NC1=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N2,CHEMBL4869892,IC50,nM,10000.0,IC50,nM,10000.0,CHRNA1
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CSSC[C@H](NC(=O)CN)C(=O)N[C@@H](CSSC[C@@H](C(N)=O)NC1=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N2,CHEMBL4872191,IC50,nM,131.0,IC50,nM,131.0,CHRNA1
COC(=O)Nc1cc(-c2cnc(OC[C@@](C)(N)CC(C)C)c(C)c2)ccn1,CHEMBL5184381,IC50,nM,2200.0,IC50,uM,2.2,CHRNA1
CC(=O)Nc1c(F)cc(C(=O)N[C@H]2CC[C@H](O)CC2)cc1O[C@@H](C)c1ccccc1,CHEMBL4636881,EC50,nM,50118.72,pEC50,,4.3,CHRNA1
CC(=O)Nc1c(F)cc(C(=O)N[C@H]2CC[C@H](O)CC2)cc1O[C@@H](C)c1ccccc1,CHEMBL4636881,IC50,nM,25118.86,pIC50,,4.6,CHRNA1
CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2ccccc2)c1=O,CHEMBL4635134,EC50,nM,50118.72,pEC50,,4.3,CHRNA1
CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2ccccc2)c1=O,CHEMBL4635134,IC50,nM,50118.72,pIC50,,4.3,CHRNA1
COCc1nc2cnc3cc(-c4c(C)noc4C)c(OC[C@H]4CCNC4)cc3c2n1[C@H](C)c1ccccc1,CHEMBL4639128,EC50,nM,50118.72,pEC50,,4.3,CHRNA1
COCc1nc2cnc3cc(-c4c(C)noc4C)c(OC[C@H]4CCNC4)cc3c2n1[C@H](C)c1ccccc1,CHEMBL4639128,IC50,nM,1000.0,pIC50,,6.0,CHRNA1
CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,CHEMBL3643413,IC50,nM,30000.0,IC50,uM,30.0,CHRNA1
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,CHEMBL1232461,IC50,nM,15800.0,IC50,uM,15.8,CHRNA1
