canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,target_name
O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,CHEMBL497939,EC50,nM,11.0,EC50,nM,11.0,CHRNA1
O=c1c(I)cc(I)c2n1CC1CNCC2C1,CHEMBL291398,EC50,nM,100.0,EC50,nM,100.0,CHRNA1
S=c1cccc2n1CC1CNCC2C1,CHEMBL293649,EC50,nM,100.0,EC50,nM,100.0,CHRNA1
C[N+]1(C)CC2CC(C1)c1cccc(=O)n1C2.[I-],CHEMBL181840,EC50,nM,37.0,EC50,nM,37.0,CHRNA1
O=c1c(Cl)ccc2n1CC1CNCC2C1,CHEMBL64496,EC50,nM,28.0,EC50,nM,28.0,CHRNA1
O=c1c(Br)ccc2n1CC1CNCC2C1,CHEMBL305106,EC50,nM,31.0,EC50,nM,31.0,CHRNA1
O=c1c(I)ccc2n1CC1CNCC2C1,CHEMBL62858,EC50,nM,45.0,EC50,nM,45.0,CHRNA1
O=c1ccc(Cl)c2n1CC1CNCC2C1,CHEMBL294311,EC50,nM,100.0,EC50,nM,100.0,CHRNA1
CC(=O)c1ccc2c(c1)C1CNCC2C1,CHEMBL194204,Ki,nM,650.0,Ki,nM,650.0,CHRNA1
N#Cc1ccc2c(c1)C1CNCC2C1,CHEMBL196626,Ki,nM,520.0,Ki,nM,520.0,CHRNA1
CCCn1cnc2cc3c(cc21)C1CNCC3C1,CHEMBL199152,Ki,nM,910.0,Ki,nM,910.0,CHRNA1
